"date","page","sessions","users","bounce_rate","avg_session_duration"
2023-11-07,"/contacts",23,15,0.33,403
2023-11-07,"/services",75,65,0.51,322
2023-11-07,"/portfolio",50,43,0.47,206
2023-11-07,"/blog/sql-basics",47,31,0.42,237
2023-11-07,"/blog/ggplot2-guide",43,33,0.47,302
2023-11-08,"/",21,16,0.27,229
2023-11-08,"/blog",57,37,0.37,166
2023-11-08,"/blog/r-tutorial",41,31,0.3,257
2023-11-08,"/blog/python-intro",41,27,0.43,325
2023-11-08,"/blog/data-viz",64,44,0.58,338
2023-11-08,"/blog/machine-learning",61,46,0.46,353
2023-11-08,"/about",73,47,0.29,180
2023-11-08,"/contacts",35,31,0.59,381
2023-11-08,"/services",58,43,0.68,171
2023-11-08,"/portfolio",73,57,0.68,312
2023-11-08,"/blog/sql-basics",23,19,0.29,130
2023-11-08,"/blog/ggplot2-guide",28,22,0.26,412
2023-11-09,"/",22,19,0.46,121
2023-11-09,"/blog",16,10,0.74,121
2023-11-09,"/blog/r-tutorial",47,29,0.5,286
2023-11-09,"/blog/python-intro",58,44,0.75,324
2023-11-09,"/blog/data-viz",69,46,0.5,398
2023-11-09,"/blog/machine-learning",66,52,0.31,337
2023-11-09,"/about",25,18,0.53,120
2023-11-09,"/contacts",82,50,0.37,161
2023-11-09,"/services",32,20,0.61,213
2023-11-09,"/portfolio",47,42,0.64,361
2023-11-09,"/blog/sql-basics",37,25,0.47,115
2023-11-09,"/blog/ggplot2-guide",43,26,0.48,300
2023-11-10,"/",49,33,0.45,355
2023-11-10,"/blog",47,29,0.7,303
2023-11-10,"/blog/r-tutorial",44,30,0.53,195
2023-11-10,"/blog/python-intro",47,34,0.6,378
2023-11-10,"/blog/data-viz",35,21,0.42,266
2023-11-10,"/blog/machine-learning",35,25,0.3,229
2023-11-10,"/about",12,9,0.72,289
2023-11-10,"/contacts",37,29,0.59,327
2023-11-10,"/services",35,24,0.26,113
2023-11-10,"/portfolio",99,79,0.31,206
2023-11-10,"/blog/sql-basics",18,16,0.67,225
2023-11-10,"/blog/ggplot2-guide",48,29,0.47,261
2023-11-11,"/",15,13,0.45,207
2023-11-11,"/blog",16,13,0.47,419
2023-11-11,"/blog/r-tutorial",47,29,0.58,330
2023-11-11,"/blog/python-intro",25,19,0.34,128
2023-11-11,"/blog/data-viz",45,34,0.67,99
2023-11-11,"/blog/machine-learning",36,23,0.71,328
2023-11-11,"/about",33,23,0.65,101
2023-11-11,"/contacts",5,4,0.5,419
2023-11-11,"/services",21,18,0.38,340
2023-11-11,"/portfolio",49,32,0.58,207
2023-11-11,"/blog/sql-basics",56,42,0.72,160
2023-11-11,"/blog/ggplot2-guide",35,29,0.74,404
2023-11-12,"/",45,31,0.28,152
2023-11-12,"/blog",67,49,0.44,103
2023-11-12,"/blog/r-tutorial",74,59,0.65,256
2023-11-12,"/blog/python-intro",23,14,0.52,302
2023-11-12,"/blog/data-viz",43,33,0.4,195
2023-11-12,"/blog/machine-learning",69,61,0.45,113
2023-11-12,"/about",36,26,0.26,409
2023-11-12,"/contacts",44,39,0.67,85
2023-11-12,"/services",43,38,0.27,277
2023-11-12,"/portfolio",27,22,0.58,130
2023-11-12,"/blog/sql-basics",36,25,0.55,263
2023-11-12,"/blog/ggplot2-guide",44,29,0.41,113
2023-11-13,"/",37,26,0.74,357
2023-11-13,"/blog",67,57,0.66,179
2023-11-13,"/blog/r-tutorial",35,22,0.55,231
2023-11-13,"/blog/python-intro",36,24,0.32,128
2023-11-13,"/blog/data-viz",59,44,0.69,247
2023-11-13,"/blog/machine-learning",24,17,0.54,238
2023-11-13,"/about",44,37,0.65,111
2023-11-13,"/contacts",14,12,0.26,331
2023-11-13,"/services",68,41,0.38,64
2023-11-13,"/portfolio",40,34,0.63,124
2023-11-13,"/blog/sql-basics",36,26,0.66,101
2023-11-13,"/blog/ggplot2-guide",20,16,0.51,253
2023-11-14,"/",45,29,0.57,256
2023-11-14,"/blog",29,22,0.49,68
2023-11-14,"/blog/r-tutorial",34,30,0.54,114
2023-11-14,"/blog/python-intro",71,55,0.3,260
2023-11-14,"/blog/data-viz",41,36,0.67,332
2023-11-14,"/blog/machine-learning",24,20,0.45,298
2023-11-14,"/about",48,38,0.64,336
2023-11-14,"/contacts",38,32,0.73,111
2023-11-14,"/services",57,50,0.38,271
2023-11-14,"/portfolio",74,48,0.66,315
2023-11-14,"/blog/sql-basics",25,16,0.58,211
2023-11-14,"/blog/ggplot2-guide",54,34,0.65,417
2023-11-15,"/",47,40,0.34,91
2023-11-15,"/blog",63,53,0.63,258
2023-11-15,"/blog/r-tutorial",40,27,0.62,196
2023-11-15,"/blog/python-intro",62,46,0.63,200
2023-11-15,"/blog/data-viz",10,8,0.42,177
2023-11-15,"/blog/machine-learning",79,56,0.28,419
2023-11-15,"/about",62,44,0.59,329
2023-11-15,"/contacts",42,37,0.27,341
2023-11-15,"/services",16,11,0.57,386
2023-11-15,"/portfolio",58,36,0.4,300
2023-11-15,"/blog/sql-basics",55,45,0.45,309
2023-11-15,"/blog/ggplot2-guide",45,36,0.71,401
2023-11-16,"/",48,30,0.59,107
2023-11-16,"/blog",33,20,0.61,402
2023-11-16,"/blog/r-tutorial",52,37,0.61,403
2023-11-16,"/blog/python-intro",51,31,0.36,92
2023-11-16,"/blog/data-viz",39,30,0.45,364
2023-11-16,"/blog/machine-learning",18,16,0.54,333
2023-11-16,"/about",59,41,0.69,272
2023-11-16,"/contacts",56,38,0.55,170
2023-11-16,"/services",28,21,0.71,65
2023-11-16,"/portfolio",13,8,0.43,176
2023-11-16,"/blog/sql-basics",49,35,0.38,121
2023-11-16,"/blog/ggplot2-guide",38,27,0.61,139
2023-11-17,"/",50,44,0.36,230
2023-11-17,"/blog",19,17,0.47,63
2023-11-17,"/blog/r-tutorial",26,22,0.6,340
2023-11-17,"/blog/python-intro",67,55,0.59,345
2023-11-17,"/blog/data-viz",53,48,0.34,103
2023-11-17,"/blog/machine-learning",57,44,0.62,130
2023-11-17,"/about",81,54,0.41,420
2023-11-17,"/contacts",48,31,0.43,385
2023-11-17,"/services",5,4,0.64,62
2023-11-17,"/portfolio",52,47,0.43,321
2023-11-17,"/blog/sql-basics",68,61,0.39,206
2023-11-17,"/blog/ggplot2-guide",86,55,0.38,68
2023-11-18,"/",17,13,0.26,203
2023-11-18,"/blog",22,19,0.58,124
2023-11-18,"/blog/r-tutorial",31,20,0.62,151
2023-11-18,"/blog/python-intro",24,17,0.57,389
2023-11-18,"/blog/data-viz",32,21,0.28,195
2023-11-18,"/blog/machine-learning",41,30,0.51,168
2023-11-18,"/about",21,16,0.29,338
2023-11-18,"/contacts",86,76,0.39,65
2023-11-18,"/services",47,41,0.25,129
2023-11-18,"/portfolio",43,38,0.6,420
2023-11-18,"/blog/sql-basics",55,46,0.65,67
2023-11-18,"/blog/ggplot2-guide",46,29,0.32,318
2023-11-19,"/",42,25,0.55,253
2023-11-19,"/blog",75,53,0.43,201
2023-11-19,"/blog/r-tutorial",41,28,0.59,240
2023-11-19,"/blog/python-intro",19,16,0.43,416
2023-11-19,"/blog/data-viz",53,40,0.65,238
2023-11-19,"/blog/machine-learning",38,29,0.74,412
2023-11-19,"/about",35,22,0.49,329
2023-11-19,"/contacts",24,17,0.29,306
2023-11-19,"/services",54,45,0.32,238
2023-11-19,"/portfolio",42,30,0.7,80
2023-11-19,"/blog/sql-basics",55,33,0.61,341
2023-11-19,"/blog/ggplot2-guide",40,33,0.69,185
2023-11-20,"/",32,25,0.7,68
2023-11-20,"/blog",70,43,0.49,284
2023-11-20,"/blog/r-tutorial",40,28,0.28,107
2023-11-20,"/blog/python-intro",64,46,0.61,125
2023-11-20,"/blog/data-viz",21,15,0.39,289
2023-11-20,"/blog/machine-learning",36,30,0.41,121
2023-11-20,"/about",40,29,0.44,190
2023-11-20,"/contacts",37,29,0.42,140
2023-11-20,"/services",72,57,0.3,358
2023-11-20,"/portfolio",45,38,0.54,61
2023-11-20,"/blog/sql-basics",50,40,0.63,117
2023-11-20,"/blog/ggplot2-guide",26,21,0.51,397
2023-11-21,"/",30,22,0.39,336
2023-11-21,"/blog",65,52,0.47,356
2023-11-21,"/blog/r-tutorial",70,43,0.7,151
2023-11-21,"/blog/python-intro",70,59,0.71,102
2023-11-21,"/blog/data-viz",17,11,0.51,108
2023-11-21,"/blog/machine-learning",86,75,0.63,211
2023-11-21,"/about",65,40,0.63,192
2023-11-21,"/contacts",44,29,0.67,112
2023-11-21,"/services",59,49,0.72,247
2023-11-21,"/portfolio",26,17,0.46,328
2023-11-21,"/blog/sql-basics",23,17,0.55,100
2023-11-21,"/blog/ggplot2-guide",46,34,0.36,193
2023-11-22,"/",21,16,0.68,140
2023-11-22,"/blog",49,38,0.71,383
2023-11-22,"/blog/r-tutorial",71,44,0.54,98
2023-11-22,"/blog/python-intro",24,16,0.58,362
2023-11-22,"/blog/data-viz",30,21,0.28,364
2023-11-22,"/blog/machine-learning",46,33,0.37,70
2023-11-22,"/about",25,20,0.5,336
2023-11-22,"/contacts",37,24,0.51,159
2023-11-22,"/services",62,45,0.63,114
2023-11-22,"/portfolio",64,39,0.38,96
2023-11-22,"/blog/sql-basics",53,39,0.59,316
2023-11-22,"/blog/ggplot2-guide",8,7,0.53,224
2023-11-23,"/",44,33,0.47,204
2023-11-23,"/blog",66,44,0.68,282
2023-11-23,"/blog/r-tutorial",61,53,0.31,108
2023-11-23,"/blog/python-intro",41,26,0.41,89
2023-11-23,"/blog/data-viz",1,1,0.62,299
2023-11-23,"/blog/machine-learning",46,40,0.52,346
2023-11-23,"/about",56,46,0.34,194
2023-11-23,"/contacts",46,29,0.59,348
2023-11-23,"/services",48,41,0.3,352
2023-11-23,"/portfolio",54,46,0.39,371
2023-11-23,"/blog/sql-basics",37,24,0.61,212
2023-11-23,"/blog/ggplot2-guide",71,46,0.27,95
2023-11-24,"/",54,41,0.3,378
2023-11-24,"/blog",20,12,0.46,164
2023-11-24,"/blog/r-tutorial",73,55,0.55,170
2023-11-24,"/blog/python-intro",69,42,0.35,354
2023-11-24,"/blog/data-viz",61,52,0.5,271
2023-11-24,"/blog/machine-learning",12,7,0.66,299
2023-11-24,"/about",34,29,0.3,292
2023-11-24,"/contacts",58,44,0.49,142
2023-11-24,"/services",46,34,0.69,280
2023-11-24,"/portfolio",52,32,0.47,235
2023-11-24,"/blog/sql-basics",94,72,0.39,269
2023-11-24,"/blog/ggplot2-guide",29,24,0.28,353
2023-11-25,"/",3,2,0.69,238
2023-11-25,"/blog",50,42,0.32,90
2023-11-25,"/blog/r-tutorial",31,23,0.41,227
2023-11-25,"/blog/python-intro",54,42,0.59,275
2023-11-25,"/blog/data-viz",29,19,0.39,389
2023-11-25,"/blog/machine-learning",89,59,0.46,77
2023-11-25,"/about",43,28,0.49,355
2023-11-25,"/contacts",35,30,0.37,92
2023-11-25,"/services",42,27,0.43,158
2023-11-25,"/portfolio",62,42,0.28,365
2023-11-25,"/blog/sql-basics",47,39,0.43,391
2023-11-25,"/blog/ggplot2-guide",12,8,0.74,90
2023-11-26,"/",45,39,0.35,261
2023-11-26,"/blog",60,37,0.69,75
2023-11-26,"/blog/r-tutorial",46,32,0.31,154
2023-11-26,"/blog/python-intro",60,42,0.35,128
2023-11-26,"/blog/data-viz",42,27,0.62,264
2023-11-26,"/blog/machine-learning",44,31,0.39,84
2023-11-26,"/about",55,41,0.36,218
2023-11-26,"/contacts",65,40,0.54,259
2023-11-26,"/services",20,18,0.29,254
2023-11-26,"/portfolio",44,38,0.49,152
2023-11-26,"/blog/sql-basics",44,39,0.4,119
2023-11-26,"/blog/ggplot2-guide",30,20,0.7,322
2023-11-27,"/",24,15,0.36,134
2023-11-27,"/blog",32,21,0.51,271
2023-11-27,"/blog/r-tutorial",57,40,0.26,389
2023-11-27,"/blog/python-intro",37,28,0.51,135
2023-11-27,"/blog/data-viz",29,26,0.44,359
2023-11-27,"/blog/machine-learning",48,38,0.25,171
2023-11-27,"/about",20,15,0.53,128
2023-11-27,"/contacts",66,41,0.47,247
2023-11-27,"/services",35,31,0.56,126
2023-11-27,"/portfolio",49,34,0.28,141
2023-11-27,"/blog/sql-basics",46,33,0.58,405
2023-11-27,"/blog/ggplot2-guide",45,35,0.41,130
2023-11-28,"/",81,66,0.33,410
2023-11-28,"/blog",28,18,0.36,395
2023-11-28,"/blog/r-tutorial",68,53,0.44,139
2023-11-28,"/blog/python-intro",46,39,0.59,189
2023-11-28,"/blog/data-viz",28,25,0.33,95
2023-11-28,"/blog/machine-learning",44,27,0.45,372
2023-11-28,"/about",60,51,0.38,418
2023-11-28,"/contacts",36,24,0.42,266
2023-11-28,"/services",30,19,0.31,273
2023-11-28,"/portfolio",48,39,0.4,312
2023-11-28,"/blog/sql-basics",65,44,0.32,267
2023-11-28,"/blog/ggplot2-guide",44,37,0.48,119
2023-11-29,"/",17,13,0.62,251
2023-11-29,"/blog",19,14,0.28,240
2023-11-29,"/blog/r-tutorial",30,18,0.45,391
2023-11-29,"/blog/python-intro",34,23,0.67,223
2023-11-29,"/blog/data-viz",45,27,0.45,213
2023-11-29,"/blog/machine-learning",58,50,0.48,88
2023-11-29,"/about",36,23,0.73,394
2023-11-29,"/contacts",23,14,0.64,173
2023-11-29,"/services",57,40,0.49,209
2023-11-29,"/portfolio",51,41,0.74,202
2023-11-29,"/blog/sql-basics",68,59,0.4,310
2023-11-29,"/blog/ggplot2-guide",11,7,0.34,273
2023-11-30,"/",47,34,0.64,114
2023-11-30,"/blog",72,57,0.69,183
2023-11-30,"/blog/r-tutorial",59,45,0.41,264
2023-11-30,"/blog/python-intro",28,17,0.71,334
2023-11-30,"/blog/data-viz",60,45,0.71,379
2023-11-30,"/blog/machine-learning",28,25,0.65,326
2023-11-30,"/about",36,24,0.43,217
2023-11-30,"/contacts",69,55,0.59,67
2023-11-30,"/services",39,34,0.38,384
2023-11-30,"/portfolio",62,38,0.73,105
2023-11-30,"/blog/sql-basics",39,25,0.31,419
2023-11-30,"/blog/ggplot2-guide",13,8,0.41,83
